cod_curso;nome_curso;cod_instituicao;nome_instituicaoano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
270;Ciência de Dados;71;Fatec Adamantina;2022;2;Noite;35;57;1.63;25.143;85.250
186;Gestão Comercial;71;Fatec Adamantina;2022;2;Noite;35;60;1.71;44.000;77.970
194;Análise e Desenvolvimento de Sistemas;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Tarde;40;79;1.98;57.750;92.400
194;Análise e Desenvolvimento de Sistemas;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Manhã;40;172;4.30;70.125;90.200
260;Design de Moda;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Manhã;40;67;1.68;50.000;81.675
245;Gestão Empresarial;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Manhã;40;62;1.55;39.000;87.010
245;Gestão Empresarial;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Noite;40;180;4.50;64.750;90.750
245;Gestão Empresarial;3;Fatec Americana - Ministro Ralph Biasi;2022;2;EaD;20;150;7.50;77.250;94.355
199;Jogos Digitais;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Noite;40;74;1.85;61.020;93.000
179;Logística;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Manhã;40;54;1.35;43.250;86.750
179;Logística;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Noite;40;107;2.68;59.125;95.203
192;Produção Têxtil;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Noite;40;68;1.70;41.250;80.575
198;Segurança da Informação;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Manhã;40;82;2.05;52.800;93.500
198;Segurança da Informação;3;Fatec Americana - Ministro Ralph Biasi;2022;2;Noite;40;189;4.73;70.562;94.920
194;Análise e Desenvolvimento de Sistemas;35;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;Manhã;40;96;2.40;60.500;100.000
125;Biocombustíveis;35;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;Noite;40;64;1.60;33.550;85.525
245;Gestão Empresarial;35;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;EaD;20;67;3.35;64.000;91.850
