id;ano-sem
20222;2022 - 2º Semestre
20221;2022 - 1º Semestre
20212;2021 - 2º Semestre
20211;2021 - 1º Semestre
20202;2020 - 2º Semestre
20201;2020 - 1º Semestre
20192;2019 - 2º Semestre
20191;2019 - 1º Semestre
20182;2018 - 2º Semestre
20181;2018 - 1º Semestre
20172;2017 - 2º Semestre
20171;2017 - 1º Semestre
20162;2016 - 2º Semestre
20161;2016 - 1º Semestre
20152;2015 - 2º Semestre
20151;2015 - 1º Semestre
20142;2014 - 2º Semestre
20141;2014 - 1º Semestre
20132;2013 - 2º Semestre
20131;2013 - 1º Semestre
20122;2012 - 2º Semestre
20121;2012 - 1º Semestre
20112;2011 - 2º Semestre
20111;2011 - 1º Semestre
20102;2010 - 2º Semestre
20101;2010 - 1º Semestre
20092;2009 - 2º Semestre
20091;2009 - 1º Semestre
20082;2008 - 2º Semestre
20081;2008 - 1º Semestre
20072;2007 - 2º Semestre
20071;2007 - 1º Semestre
