id;fatec
71;Adamantina - Fatec Adamantina
3;Americana - Fatec Americana - Ministro Ralph Biasi
35;Araçatuba - Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado
67;Araraquara - Fatec Araraquara
68;Araras - Fatec Araras
61;Assis - Fatec Assis
74;Barretos - Fatec Barretos
47;Barueri - Fatec Barueri - Padre Danilo José de Oliveira Ohl
40;Bauru - Fatec Bauru
62;Bebedouro - Fatec Bebedouro - Jorge Caram Sabbag
13;Botucatu - Fatec Botucatu
41;Bragança Paulista - Fatec Bragança Paulista - Jornalista Omair Fagundes de Oliveira
60;Campinas - Fatec Campinas
34;Capão Bonito - Fatec Capão Bonito
23;Carapicuíba - Fatec Carapicuíba
42;Catanduva - Fatec Catanduva
58;Cotia - Fatec Cotia
19;Cruzeiro - Fatec Cruzeiro - Prof. Waldomiro May
54;Diadema - Fatec Diadema - Luigi Papaiz
69;Ferraz de Vasconcelos - Fatec Ferraz de Vasconcelos
43;Franca - Fatec Franca - Dr. Thomaz Novelino
70;Franco da Rocha - Fatec Franco da Rocha
15;Garça - Fatec Garça - Dep. Julio Julinho Marcondes de Moura
8;Guaratinguetá - Fatec Guaratinguetá - Prof. João Mod
31;Guarulhos - Fatec Guarulhos
9;Indaiatuba - Fatec Indaiatuba - Dr. Archimedes Lammoglia
27;Itapetininga - Fatec Itapetininga - Prof. Antonio Belizandro Barbosa Rezende
63;Itapira - Fatec Itapira - Ogari de Castro Pacheco
22;Itaquaquecetuba - Fatec Itaquaquecetuba
66;Itatiba - Fatec Itatiba
39;Itu - Fatec Itu - Dom Amaury Castanho
36;Jaboticabal - Fatec Jaboticabal - Nilo de Stéfani
52;Jacareí - Fatec Jacareí- Prof. Francisco de Moura
32;Jales - Fatec Jales - Prof. José Camargo
5;Jaú - Fatec Jahu
12;Jundiaí - Fatec Jundiaí - Deputado Ary Fossen
44;Lins - Fatec Lins - Prof. Antonio Seabra
24;Marília - Fatec Marília - Estudante Rafael Almeida Camarinha
73;Matão - Fatec Matão - Luiz Marchesan
11;Mauá - Fatec Mauá
16;Mococa - Fatec Mococa
45;Mogi das Cruzes - Fatec Mogi das Cruzes
30;Mogi Mirim - Fatec Mogi Mirim - Arthur de Azevedo
49;Osasco - Fatec Osasco - Pref. Hirant Sanazar
6;Ourinhos - Fatec Ourinhos
25;Pindamonhangaba - Fatec Pindamonhangaba
37;Piracicaba - Fatec Piracicaba - Dep. Roque Trevisan
55;Pompéia - Fatec Pompéia - Shunji Nishimura
14;Praia Grande - Fatec Praia Grande
29;Presidente Prudente - Fatec Presidente Prudente
75;Registro - Fatec Registro
65;Ribeirão Preto - Fatec Ribeirão Preto
64;Santana de Parnaíba - Fatec Santana de Parnaíba
21;Santo André - Fatec Santo André
4;Santos - Fatec Baixada Santista - Rubens Lara
18;São Bernardo do Campo - Fatec São Bernardo do Campo - Adib Moisés Dib
33;São Caetano do Sul - Fatec São Caetano do Sul - Antonio Russo
57;São Carlos - Fatec São Carlos
17;São José do Rio Preto - Fatec São José do Rio Preto
28;São José dos Campos - Fatec São José dos Campos - Prof. Jessen Vidal
48;São Paulo - Fatec Ipiranga - Pastor Enéas Tognini
53;São Paulo - Fatec Itaquera - Prof. Miguel Reale
1;São Paulo - Fatec São Paulo
59;São Paulo - Fatec Sebrae
50;São Paulo - Fatec Tatuapé - Victor Civita
10;São Paulo - Fatec Zona Leste
20;São Paulo - Fatec Zona Sul - Dom Paulo Evaristo Arns
56;São Roque - Fatec São Roque
46;São Sebastião - Fatec São Sebastião
38;Sertãozinho - Fatec Sertãozinho - Dep. Waldyr Alceu Trigo
2;Sorocaba - Fatec Sorocaba - José Crespo Gonzales
72;Sumaré - Fatec Sumaré (Região de Campinas)
7;Taquaritinga - Fatec Taquaritinga
26;Tatuí - Fatec Tatuí - Prof. Wilson Roberto Ribeiro de Camargo
51;Taubaté - Fatec Taubaté
